lodindex,lodcolumn,chr,pos,lod,ci_lo,ci_hi
119,X267624_at,2,14.39,14.6624023937866,13.294,15.282
119,X267624_at,3,73.252,2.86907947930047,58.894,77.554
119,X267624_at,5,83.724,3.35749415610763,48.908,89.457
120,X267590_at,1,99.865,4.58582789053322,78.371,102.2
120,X267590_at,3,25.424,3.31797581047654,20.631,30.906
120,X267590_at,5,26.071,3.29286346148023,1.112,32.191
121,X267591_at,1,16.004,6.65985133590582,12.856,19.64
121,X267591_at,2,40.598,2.58576701060894,11.315,47.847
122,X267592_at,1,91.124,3.2687050968201,70.494,96.792
122,X267592_at,2,58.584,13.6697165848781,56.27,61.073
122,X267592_at,4,18.506,2.82078842264358,7.527,67.175
122,X267592_at,5,61.914,6.10277705180536,48.908,66.22
123,X267562_at,5,71.912,7.35126309928758,64.761,72.735
125,X267564_at,2,47.847,29.8241777670301,46.904,48.567
125,X267564_at,5,87.747,3.40614586013998,75.819,89.558
126,X267565_at,2,14.39,5.79332693251047,11.315,18.762
126,X267565_at,3,72.401,3.57604016840771,58.894,77.554
126,X267565_at,5,62.148,5.06197870160891,46.007,64.237
128,X267567_at,3,60.612,10.3555944929114,58.894,63.719
128,X267567_at,5,62.148,5.84100118955425,43.61,66.22
129,X267568_at,2,40.876,2.98387626913947,26.855,44.566
130,X267569_at,2,46.904,11.2422700323539,40.598,50.193
130,X267569_at,4,7.527,2.29487272730926,0,25.229
130,X267569_at,5,64.237,5.59452292175588,59.995,69.829
132,X267571_at,2,51.863,3.45654972206856,46.593,56.756
132,X267571_at,4,3.554,2.53413497175379,0,17.712
133,X267572_at,1,41.478,2.09765751087027,33.238,51.298
133,X267572_at,2,14.39,22.5412338848923,13.294,15.282
133,X267572_at,3,60.612,2.14858429920725,0,77.554
133,X267572_at,5,52.291,2.27795160194068,23.498,86.614
134,X267573_at,2,31.909,2.00721973384248,10.576,40.598
137,X267576_at,2,40.923,4.64552466510949,34.337,46.038
137,X267576_at,5,62.148,2.15158961472689,29.107,97.506
138,X267577_at,2,11.686,6.2883199805666,10.576,18.762
138,X267577_at,3,73.144,3.41063815651275,54.53,77.554
139,X267578_at,2,14.39,8.2065804232401,8.794,15.282
139,X267578_at,5,83.439,4.49274516918352,53.584,86.614
141,X267580_at,1,14.567,2.27218549891674,3.427,34.221
141,X267580_at,2,14.39,8.7322003227366,12.265,18.762
142,X267581_at,2,46.904,3.53924694863436,37.597,51.863
144,X267583_at,2,46.904,3.43271927850367,11.686,70.475
147,X267586_at,1,44.107,2.01612898543127,0,92.086
147,X267586_at,2,55.099,3.58918969157462,49.108,63.642
147,X267586_at,3,62.923,3.23006939766775,57.542,77.554
147,X267586_at,5,55.526,2.91058683059213,46.007,89.558
148,X267587_at,2,50.278,2.89745567868231,37.441,69.906
148,X267587_at,3,26.782,2.54570914969497,10.394,39.896
148,X267587_at,4,58.642,2.57982967493529,11.917,77.075
149,X267588_at,2,18.762,5.34906533002461,10.91,21.436
149,X267588_at,3,4.006,4.39560432609409,0,16.967
151,X267530_at,2,41.658,5.93856489454519,34.337,54.103
153,X267532_at,2,61.073,14.7111527464957,56.756,61.988
153,X267532_at,5,61.914,2.71098359162374,59.438,73.503
154,X267533_at,2,61.073,32.4335649598855,58.892,62.876
154,X267533_at,3,12.307,2.37886963724955,1.322,63.433
154,X267533_at,4,5.126,4.22579262341379,0,17.712
154,X267533_at,5,61.014,3.98321485887275,55.526,68.694
155,X267534_at,1,51.298,2.17290704761262,16.546,102.488
155,X267534_at,2,10.91,6.20155402586472,8.794,43.457
156,X267535_at,2,61.073,8.67425104552504,58.892,62.876
156,X267535_at,3,60.612,3.37712680044119,52.334,64.485
156,X267535_at,4,37.779,2.27269443390056,10.868,50.599
157,X267536_at,2,14.39,9.95941170050235,13.294,18.762
157,X267536_at,3,77.554,2.4807754765244,58.894,77.554
158,X267537_at,2,61.073,37.5373899275904,58.892,61.988
159,X267538_at,1,91.124,2.53306656401845,45.044,101.943
159,X267538_at,2,41.168,10.0341831002881,37.597,44.278
160,X267539_at,2,61.073,6.12165492686076,56.27,68.792
160,X267539_at,5,65.519,4.20540544139539,59.438,72.037
161,X267540_at,5,16.304,3.46084521007953,13.716,25.121
162,X267541_at,1,53.826,2.11380484020315,37.817,92.251
164,X267543_at,1,88.541,2.24619548796865,57.355,96.792
164,X267543_at,2,50.278,31.5904141474492,49.108,51.863
164,X267543_at,5,71.912,2.08130191251562,46.007,92.925
165,X267544_at,1,48.514,3.57265027160285,41.478,99.865
166,X267545_at,2,27.27,2.23240974410267,19.656,56.27
167,X267546_at,1,85.855,5.15916112366763,65.097,96.792
167,X267546_at,2,14.39,8.2623332678898,13.294,18.762
167,X267546_at,3,73.252,11.3125489244587,71.469,75.045
167,X267546_at,5,62.148,5.16481555149996,59.995,71.454
169,X267548_at,2,14.39,8.62082439179008,11.995,50.112
169,X267548_at,5,85.532,2.33905390914639,46.007,97.796
170,X267549_at,1,31.996,2.83466244687772,0,37.817
170,X267549_at,2,50.193,44.1554598071021,49.108,51.863
170,X267549_at,5,49.502,3.10164302116884,46.007,72.435
171,X267550_at,2,14.39,8.32021808454612,11.041,15.282
171,X267550_at,3,73.252,6.54362520542048,70.572,77.554
171,X267550_at,5,83.724,3.84217772600743,61.014,89.457
173,X267552_at,2,51.863,15.0981058068862,48.567,54.103
174,X267553_s_at,2,10.91,8.50183925419249,8.794,18.762
174,X267553_s_at,4,61.2,2.3912750328403,46.139,77.075
174,X267553_s_at,5,83.439,2.8728290992361,49.737,97.796
175,X267554_at,2,50.278,27.5531488113311,49.108,51.863
176,X267555_at,1,96.792,6.29261072716351,65.49,99.865
176,X267555_at,4,54.093,3.85167127127019,48.393,64.594
176,X267555_at,5,95.251,2.20579929601382,1.112,97.796
177,X267556_at,2,50.278,33.2692525991144,49.108,51.863
178,X267557_at,1,58.251,2.83881667737424,53.826,70.193
178,X267557_at,2,41.658,2.58730934843178,0,65.436
178,X267557_at,3,49.115,3.42902031107248,36.857,69.762
178,X267557_at,4,10.587,2.95285735421707,5.572,30.34
179,X267558_at,2,14.39,8.32983995025076,10.576,18.762
180,X267559_at,1,16.546,2.34115979293758,3.427,31.996
180,X267559_at,2,14.39,15.2375740914726,13.294,15.282
180,X267559_at,3,77.554,2.6701548136045,0,77.554
180,X267559_at,5,83.724,2.48772811608121,49.737,97.796
181,X267560_at,2,19.031,3.15095331533106,5.517,32.418
182,X267561_at,2,41.658,6.67110841834731,37.597,69.334
182,X267561_at,3,33.221,5.60190258655371,30.906,60.612
182,X267561_at,5,49.502,2.18685409975325,42.18,89.457
185,X267529_at,1,91.124,4.38221879417628,65.49,96.792
185,X267529_at,2,15.282,4.01552571399633,11.686,35.72
185,X267529_at,4,67.175,2.99444753963854,62.536,77.075
186,X267498_at,3,27.927,2.00799259826539,0,35.801
187,X267499_at,2,14.39,16.0270964085193,13.294,15.282
187,X267499_at,3,73.252,3.61030723370178,58.894,77.554
187,X267499_at,5,62.148,3.30431400620561,46.007,89.457
188,X267500_s_at,2,14.39,15.8899556293937,13.294,15.282
188,X267500_s_at,3,74.655,3.74110231047591,58.894,77.554
188,X267500_s_at,5,62.148,2.37015782914499,49.737,64.237
189,X267501_at,2,14.39,5.06391488143069,8.794,18.762
189,X267501_at,3,77.554,3.0770605252911,54.53,77.554
190,X267502_at,3,49.867,2.7260776444292,30.906,60.612
191,X267503_at,1,29.828,4.56218257034415,5.357,32.799
191,X267503_at,2,14.39,4.8320423840629,5.517,18.762
191,X267503_at,3,73.252,2.88381031580897,1.322,77.554
192,X267504_at,2,15.282,2.10968497675905,2.508,58.584
192,X267504_at,3,63.433,2.92801221388407,52.334,70.484
192,X267504_at,5,61.914,2.91981040871722,55.526,97.506
193,X267505_at,1,2.546,2.32217527798123,0,14.032
193,X267505_at,2,68.792,6.74294931390967,65.436,70.475
194,X267506_at,2,66.759,24.2253102362825,65.436,68.792
195,X267507_at,3,76.282,5.63977701538523,73.252,77.554
196,X267508_at,2,14.39,2.71381852239296,5.517,65.436
196,X267508_at,5,0.293,2.63887721235544,0,78.915
197,X267509_at,2,37.441,6.98868513699851,28.593,54.103
197,X267509_at,4,3.554,8.77858678605099,0.778,5.391
197,X267509_at,5,86.614,3.82642353948152,65.519,89.558
198,X267510_at,1,48.514,2.32439115405935,31.996,75.748
199,X267511_at,1,46.623,2.93803800184616,37.817,63.674
199,X267511_at,2,66.759,5.34060595683509,62.876,70.475
199,X267511_at,5,68.694,2.23993841243658,24.675,89.457
200,X267512_at,2,14.39,5.50407492499844,8.794,19.96
201,X267513_at,1,81.621,2.80873418189733,16.546,96.792
201,X267513_at,2,11.315,2.26830174648621,0,28.417
202,X267514_at,1,88.541,2.23980461591775,70.494,99.865
202,X267514_at,2,40.598,6.72371974995021,37.597,42.433
203,X267515_at,2,63.642,10.049761391837,21.436,69.334
203,X267515_at,5,92.925,2.09190657043017,13.716,97.796
204,X267516_at,1,32.799,2.02939447372383,16.956,85.833
204,X267516_at,2,47.847,42.9980953657498,46.904,48.567
205,X267517_at,2,47.847,40.4180152613844,46.904,48.567
205,X267517_at,4,5.189,2.96637093861085,0,23.697
206,X267518_at,2,47.847,11.1764292517565,46.745,49.108
207,X267519_at,2,47.847,64.6962351123419,46.904,48.567
208,X267520_at,1,2.546,2.36072564899664,0,88.541
208,X267520_at,2,47.847,34.3286601314514,46.904,48.567
211,X267523_at,1,102.2,5.90608006418736,90.788,102.488
211,X267523_at,2,15.282,3.06375513738311,8.794,21.436
211,X267523_at,4,6.34,2.79515614255409,0,77.075
212,X267524_at,1,102.2,5.59728138970013,96.792,102.488
212,X267524_at,2,47.847,6.12118924034534,44.566,50.061
214,X267526_at,2,14.39,20.2773406713723,13.294,15.282
214,X267526_at,3,77.554,2.19904708693512,49.867,77.554
214,X267526_at,5,61.014,2.41092495678497,33.599,85.091
215,X267492_at,2,47.847,20.5566576887348,46.904,48.567
215,X267492_at,3,55.904,2.84810351956758,35.801,70.484
215,X267492_at,4,57.292,2.94326986957818,48.587,70.864
217,X267494_at,2,48.567,6.13477134986885,44.566,54.103
217,X267494_at,3,77.554,4.04837810565928,72.401,77.554
218,X267495_at,2,47.847,15.8981686004045,46.745,50.061
218,X267495_at,5,85.091,3.38155709944628,57.825,91.49
219,X267496_at,1,17.298,2.41011166565711,3.427,27.495
219,X267496_at,2,14.39,15.856385830956,11.041,15.282
219,X267496_at,3,62.923,3.74355331184462,59.8,74.472
219,X267496_at,5,52.291,3.51982294368741,46.007,92.925
220,X267497_at,2,41.168,6.47959294439958,33.146,43.457
220,X267497_at,3,73.144,2.91016197133566,62.497,77.554
220,X267497_at,5,85.299,2.64642505807205,58.799,91.068
221,X267467_at,2,14.39,10.0820545211984,11.041,15.282
221,X267467_at,4,33.588,2.99897780997956,1.503,45.868
221,X267467_at,5,97.796,2.49927911058315,83.259,97.796
222,X267468_at,2,14.39,14.6405200356802,13.294,15.282
223,X267469_at,1,58.251,2.12359518560657,0,102.488
223,X267469_at,5,85.091,3.31865723247883,43.61,89.457
224,X267470_at,2,14.39,13.5409875992538,11.041,15.282
224,X267470_at,3,60.612,2.21131674004893,54.53,77.554
224,X267470_at,5,52.291,3.81659960673202,46.007,89.457
225,X267471_at,2,14.39,6.41527130040701,10.576,28.417
225,X267471_at,4,3.554,4.12219895210291,0,7.527
226,X267472_at,2,41.168,10.582672674558,31.909,41.658
227,X267473_at,2,8.794,6.97734155827479,5.517,14.39
228,X267474_at,2,8.099,36.6369183724621,7.31,8.794
228,X267474_at,5,83.724,3.57407803009126,75.819,86.614
229,X267475_at,2,8.099,70.407122484308,7.31,8.794
231,X267477_at,2,8.099,39.0637354402495,7.31,10.576
234,X267480_at,3,41.577,2.67291570025272,28.447,55.904
235,X267481_at,2,7.31,7.97726597284413,5.517,10.576
236,X267482_s_at,3,8.932,3.66214758768166,6.634,11.466
237,X267483_at,1,85.855,4.90154933106927,64.32,96.792
237,X267483_at,2,14.39,7.63076591301433,13.294,18.762
237,X267483_at,3,73.252,3.14402278327652,54.53,77.458
237,X267483_at,5,62.148,6.42775060921222,59.995,83.439
238,X267484_at,2,8.099,91.2078878175482,7.31,8.794
239,X267485_at,2,66.759,2.05445689927994,41.658,70.475
240,X267486_at,1,61.76,3.63402575073618,57.355,92.251
240,X267486_at,2,10.91,8.37516177936791,8.794,15.282
240,X267486_at,5,78.11,3.30718602377749,29.107,97.796
242,X267488_at,2,26.855,6.67903459331438,19.96,28.593
243,X267489_s_at,1,51.298,2.27441057954499,15.56,60.751
243,X267489_s_at,2,14.39,3.92347617282352,8.794,18.762
243,X267489_s_at,3,77.554,2.09753798063575,39.896,77.554
244,X267490_at,1,73.423,2.49164129609712,52.429,96.792
244,X267490_at,2,14.39,16.2246734719684,13.294,18.762
244,X267490_at,3,73.252,5.55886479854839,71.469,77.458
244,X267490_at,5,70.458,4.790557729915,59.995,85.091
247,X267465_at,1,79.776,2.14451067838332,0,102.488
247,X267465_at,4,35.024,2.42119706294185,25.229,45.868
247,X267465_at,5,78.11,4.48562660746011,65.519,89.457
248,X267466_at,5,78.11,2.32323187604194,48.908,82.369
249,X267436_at,2,49.108,3.79486108074214,13.294,54.196
249,X267436_at,3,60.612,5.99889039240175,54.53,77.554
249,X267436_at,5,62.148,4.74176605914859,59.995,63.484
250,X267437_at,4,67.925,3.23361052384913,57.737,70.864
253,X267440_at,5,63.484,2.17884381865014,1.112,82.369
255,X267442_at,1,66.438,2.10498030266762,53.826,85.51
255,X267442_at,3,74.655,2.98341274210465,69.762,77.554
257,X267444_at,2,28.593,39.586716904421,28.417,31.909
257,X267444_at,5,71.454,2.44259564446935,45.369,89.457
258,X267445_at,2,37.597,3.83118777496552,23.475,42.57
258,X267445_at,4,39.214,2.75020804478944,18.506,48.393
259,X267446_s_at,1,88.541,2.02215365413212,9.213,102.488
259,X267446_s_at,2,41.168,5.11553600245594,37.597,42.57
261,X267448_at,2,14.39,4.63117579899175,8.794,18.762
261,X267448_at,4,7.527,3.66517909736052,1.503,77.075
261,X267448_at,5,83.439,3.91018667086941,79.862,97.506
264,X267451_at,2,14.39,2.5555090870496,5.517,26.771
264,X267451_at,3,16.045,4.99647913269803,12.925,22.394
265,X267452_at,1,34.221,4.40258906128566,27.495,41.478
265,X267452_at,2,50.061,3.19552257352358,40.598,68.792
265,X267452_at,3,60.034,2.02928197246024,0,77.554
267,X267454_at,1,57.355,2.25231651139517,6.228,70.037
267,X267454_at,2,14.39,3.56845698588578,8.794,18.762
268,X267455_at,1,41.478,2.56404608593456,23.918,51.298
268,X267455_at,4,30.34,2.0339903625473,0,61.895
269,X267456_at,2,14.39,4.57172378227527,8.794,18.762
269,X267456_at,5,83.724,2.74674562462238,0,95.251
272,X267459_at,1,16.004,13.8066051492778,10.346,16.956
272,X267459_at,2,40.598,5.73677374475177,37.597,46.038
273,X267460_at,2,33.146,2.33460453926951,21.436,49.108
273,X267460_at,3,0.252,3.3734028353153,0,11.466
273,X267460_at,4,57.292,3.43031490365295,46.139,77.075
273,X267460_at,5,15.502,2.10496399585022,1.112,97.796
275,X267462_at,1,65.77,5.12423755203812,64.32,70.193
275,X267462_at,2,14.39,6.06074824620016,8.794,23.475
275,X267462_at,3,76.282,2.52391164900322,65.829,77.554
275,X267462_at,5,83.439,3.22273994042163,33.599,95.251
276,X267463_at,2,11.315,8.92990441321717,10.576,15.282
276,X267463_at,3,62.923,3.80718126073705,58.894,77.554
276,X267463_at,4,6.857,2.2384287851468,0,77.075
276,X267463_at,5,62.148,6.265721431654,59.438,63.484
277,X267435_at,2,14.39,20.8407779871179,13.294,15.282
277,X267435_at,3,73.252,5.79073297651014,70.322,77.554
277,X267435_at,5,62.148,3.02034861164767,49.737,91.49
278,X267404_at,1,101.058,4.31646583650776,64.713,102.488
278,X267404_at,2,51.863,10.6741964658499,50.278,54.103
279,X267405_at,2,37.597,3.41829325189051,23.475,46.593
280,X267406_at,1,92.251,2.02196195117723,25.23,102.488
285,X267411_at,1,96.792,5.94751756860109,90.358,102.488
285,X267411_at,2,54.66,3.27609589336513,13.294,58.584
286,X267412_at,2,14.39,13.0546479830347,11.041,15.282
286,X267412_at,3,73.252,7.1772738870905,60.034,76.282
286,X267412_at,5,62.148,6.13273236057572,59.995,63.484
287,X267413_at,1,73.423,2.71056066163029,44.388,99.865
287,X267413_at,3,12.307,2.98808575367894,6.289,52.334
287,X267413_at,4,0.778,2.20577732349042,0,10.868
287,X267413_at,5,64.551,6.40329417230876,61.914,68.694
288,X267414_at,2,51.863,31.7596129431322,50.278,54.103
289,X267415_at,2,42.433,2.01787855577967,8.794,50.061
290,X267416_at,2,50.278,5.9654783603373,48.567,56.756
290,X267416_at,3,55.904,3.00627713947181,46.264,75.455
292,X267418_at,1,85.51,2.36698382644957,75.748,102.488
292,X267418_at,2,14.39,7.59787959742352,13.294,19.466
292,X267418_at,3,3.441,4.69796636468175,1.322,8.479
293,X267419_at,2,14.39,5.01464377238818,5.517,18.762
294,X267420_at,2,54.103,12.6657184298911,50.278,55.608
294,X267420_at,4,28.665,2.43074028318778,24.704,77.075
295,X267421_at,2,50.193,2.91705199052716,11.041,58.584
295,X267421_at,5,66.47,3.9859594952995,49.737,78.36
296,X267422_at,2,14.39,6.45994574566882,11.686,18.762
296,X267422_at,3,73.144,2.22882887735713,49.867,77.554
297,X267423_at,2,51.863,45.5905465672331,50.278,54.103
297,X267423_at,4,8.444,2.83758482490153,0,23.697
299,X267425_at,1,16.546,3.71021470017472,14.567,29.828
299,X267425_at,2,12.265,5.0379611912334,10.576,31.909
